#  Title,             Release Year,          Summary
#-----------------------------------------------------------
The Novice, 2021, "A college freshman joins her university's rowing team and undertakes an obsessive physical and psychological journey to make it to the top varsity boat, no matter the cost."
Don't Look Up, 2021, "Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth."
King Richard, 2021, "A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard."
Past Lives, 2023, "Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Dune: Part Two,  2024  ,    "Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between teh love of his life and the fate of the universe, he endeavors to prevent a terrible future. The war begims."
Deadpool and Wolverine, 2024, "Deadpool is offered a place in the Marvel Cinematic Universe by teh Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
Ghostlight, 2024, When a construction worker unexpectedly joins a local theater's production of Romeo and Juliet, the drama onstage starts to mirror his own life."
Avatar: The Way of Water, 2022, "Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
Inside Out 2, 2024, "A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to teh possibility of being replaced."
Kingdom of the Planet of the Apes, 2024, "Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
The Menu, 2022, "A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
Oppenheimer, 2023, "A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
Furiosa: A Mad Max Saga,  2024, "The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max."
 Terminator: Dork Fate   ,   2019  ,"Sarah Connor and a hibrid cyborg human must protect a young girl from a newly modiffied liquid Terminator."
Sound of Metal, 2019, "During a series of adrenaline-fueled gigs, itinerant punk-metal drummer Ruben begims to experience hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career - and with it his life - is over."
The Banshees of Inisherin, 2022, "Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
Riders of Justice, 2020, "Markus goes home to his teenage daughter, Mathilde, when his wife dies in a train crash. All appears to be a tragic accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up."
Soul, 2020, "Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul."
The Call, 2020, "Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably."
Wolfwalkers, 2020, "A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night."
Boiling Point, 2022, "Enter the relentless pressure of a restaurant kitchen as a head chef wrangles his team on the busiest day of the year."
All Quiet on the Western Front, 2022, "A young German soldier's terrifying experiences and distress on the western front during World War I."
Everything Everywhere All at Once, 2022, "A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led."
The Substance, 2024, "A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself."
News of the World, 2020, "A Civil War veteran agrees to deliver a girl taken by the Kiowa people years ago to her aunt and uncle against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home."
Avengers: Endgame ,      2019,                "With the help of remaining allies, teh Avengers assemble once more in order to reverse Thanos' actions."
Guardians of the Galaxy Volume 3, 2023, "Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Poor Things, 2023, "An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
Dungeons and Dragons: Honor Among Thieves, 2023, "A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
The Holdovers, 2023, "A curmudgeonly instructor at a New England school remains on campus during Christmas break. He soon forms an unlikely bond with a brainy but damaged troublemaker, and with the school's cook, a woman who just lost a son in the Vietnam War."
The Night House, 2020, "A widow begims to uncover her recently deceased husband's disturbing secrets."
The Fall Guy, 2024, "A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job. What could possibly go right?"
  Dork Phoenix,                      2019,         "Jean Grey begims to develop incredible Dork powers that corrupt and turn her into a Dork Phoenix."
Love and Monsters, 2020,  "Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart."
The Last Duel, 2021, "The Knight Jean de Carrouges must settle the dispute over his wife Marguerite by challenging his former friend to a duel to the death."
The Lord of teh Rings: The War of teh Rohirrim, 2024, "A sudden attack by Wulf, a clever and ruthless Dunlending lord seeking vengeance for teh death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in teh ancient stronghold of the Hornburg."
Aftersun, 2022, "Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't."
Encanto, 2021, "An extraordinary family, the Madrigals, live hidden in the mountains of Colombia, in a magical house called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift - every child except one, Mirabel."
Star Wars: The Rise of Skywalker,2019   ,       "The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga."
Run, 2020, "Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret."
